Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Trick Shot,Archer,3,"Armor Training 1,Armor Training 2,Armor Training 3,Armor Training 4",,Fighter,0,,,
Expert Archer,Archer,5,Weapon Training 1,,Fighter,0,,,
Safe Shot,Archer,9,Weapon Training 2,,Fighter,0,,,
Evasive Archer,Archer,13,Weapon Training 3,,Fighter,0,,,
Volley,Archer,17,Weapon Training 4,,Fighter,0,,,
Ranged Defense,Archer,19,Armor Mastery,,Fighter,0,,,
Deflective Shield,Armor Master ,2,Bravery,"At 2nd level, an armor master specializes in using his shield to deflect attacks He gains a +1 bonus to his touch AC, and this bonus increases for every four levels beyond 2nd (to a maximum of +6 at 20th level); however, this bonus cannot exceed the sum of the armor and enhancement bonus to AC provided by the shield that the armor master is currently carrying This ability replaces bravery",Fighter,,,,Ex
Armored Defense,Armor Master ,5,"Weapon Training 1 And 3, And Armor Mastery","At 5th level, an armor master gains DR 1/— when wearing light armor, DR 2/— when wearing medium armor, and DR 3/— when wearing heavy armor At 19th level, this damage reduction increases to DR 4/— when wearing light armor, DR 8/— when wearing medium armor, and DR 12/— when wearing heavy armor This damage reduction stacks with that provided by adamantine armor, but not with other forms of damage reduction This damage reduction does not apply if the armor master is stunned, unconscious, or helpless This ability replaces weapon training 1 and 3, and armor mastery",Fighter,,,,Ex
Fortification,Armor Master ,9,"Weapon Training 2,Weapon Training 4","At 9th level, an armor master can use his armor to shield critical areas from injury He treats any armor he wears as if it had the light fortification special ability At 13th level, his armor gains the moderate fortification special ability This fortification does not stack in any way with armor that has these special abilities In these cases the armor master takes the better of the two fortifications This ability replaces weapon training 2 and 4",Fighter,,,,Ex
Indestructible,Armor Master ,20,Weapon Mastery,"At 20th level, an armor master gains complete immunity to critical hits and sneak attacks while he is wearing armor In addition, unless his armor has the fragile armor quality, it cannot be sundered while he is wearing it This ability replaces weapon mastery",Fighter,,,,Ex
Close Control,Brawler,2,Armor Training 1,"At 2nd level, a brawler becomes skilled at forcefully moving his opponent around the battlefield The brawler gains a +1 bonus on bull rush, drag, and reposition combat maneuver checks The brawler also gains a +1 bonus to CMD when attacked with the bull rush, drag, and reposition maneuvers These bonuses increase by +1 for every four levels after 2nd (to a maximum of +5 at 18th level) This ability replaces armor training 1",Fighter,,,,Ex
Close Combatant,Brawler,3,"Weapon Training 1,Weapon Training 2","At 3rd level, a brawler gains a +1 bonus on attack rolls and a +3 bonus on damage rolls with weapons in the close weapon group Both of these bonuses increase by +1 for every four levels beyond 3rd (to a maximum of +5 on attack rolls and +7 on damage rolls at 19th level) This ability replaces weapon training 1 and 2",Fighter,,,,Ex
Menacing Stance,Brawler,7,"Armor Training 2,Armor Training 3,Armor Training  4, Armor Mastery","At 7th level, a brawler constantly harries and distracts his enemies While adjacent to the brawler, enemies take a –1 penalty on attack rolls and a –4 penalty on concentration checks These penalties increase by 1 for every four levels after 7th level (to a maximum of –4 on attack rolls and –7 on concentration checks at 19th level) Creatures do not take these penalties if the brawler is dazed, helpless, staggered, stunned, or unconscious This ability replaces armor training 2, 3, and 4 and armor mastery",Fighter,,,,Ex
No Escape,Brawler,9,"Weapon Training 3,Weapon Training 4","At 9th level, taking a 5-foot step out of the area of a brawler's menacing stance or moving out of the area of a brawler's menacing stance with a withdraw action provokes an attack of opportunity from the brawler This ability replaces weapon training 3 and 4",Fighter,,,,Ex
Stand Still,Brawler,13,,"At 13th level, a brawler gains Stand Still as a bonus feat, even if he does not have the Combat Reflexes feat If the brawler already has the Stand Still feat, he can take any other combat feat instead Furthermore, he gains a bonus equal to 1/2 his fighter level on combat maneuver checks when using the Stand Still feat",Fighter,,,,
Weapon Mastery,Brawler,20,,A brawler must select a close weapon for this ability,Fighter,,,,Ex
Weapon and Armor Proficiency,Cad,1,,"A cad is not proficient with medium armor, heavy armor, or tower shields",Fighter,,,,
Skills,Cad,1,,"Acrobatics (Dex), Bluff (Cha), Escape Artist (Dex), Sleight of Hand (Dex), and Stealth (Dex) are class skills for a cad",Fighter,,,,
Dirty Maneuvers,Cad,2,Bravery,"At 2nd level, a cad becomes skilled at deceiving and discomfiting his opponents The cad gains a +1 bonus on disarm, dirty trick, and steal combat maneuver checks The cad also gains a +1 bonus to CMD when attacked with the disarm, dirty trick, and steal combat maneuvers These bonuses increase by 1 for every four levels after 2nd (to a maximum of +5 at 18th level) This ability replaces bravery",Fighter,,,,Ex
Catch Off-Guard,Cad,3,Armor Training 1,"At 3rd level, the cad gains the Catch Off-Guard feat This ability replaces armor training 1",Fighter,,,,
Payback,Cad,5,"Weapon Training 1,Weapon Training 3,Weapon Training 4","At 5th level, a cad gains a +1 bonus on attack and damage rolls against any creature that has attacked the cad since the beginning of his last turn This bonus increases by +1 for every four levels beyond 5th (to a maximum of +4 at 17th level) This ability replaces weapon training 1, 3, and 4",Fighter,,,,Ex
Deadly Surprise,Cad,7,Armor Training 2,"At 7th level, when a cad hits an opponent that is denied its Dexterity bonus to AC against him with a weapon or unarmed attack, he may attempt a dirty trick combat maneuver as an immediate action as part of the attack This ability replaces armor training 2",Fighter,,,,Ex
Razor-Sharp Chair Leg,Cad,9,Weapon Training 2,"At 9th level, as a swift action, a cad may alter the type of damage dealt by an improvised weapon to bludgeoning, piercing, or slashing damage In addition, the cad has a critical threat range of 19–20/×2 with any improvised melee weapon This ability replaces weapon training 2",Fighter,,,,Ex
Craven Combatant,Cad,11,Armor Training 3,"At 11th level, when fighting defensively or using Combat Expertise or total defense, a cad cannot be flanked except by a rogue or ninja whose level is four or more higher than the cad's fighter level This ability replaces armor training 3",Fighter,,,,Ex
Sweeping Prank,Cad,13,,"At 13th level, as a standard action, a cad can use a dirty trick maneuver against any two adjacent opponents that he can reach, making a separate combat maneuver check against each opponent He must use the same dirty trick maneuver against each opponent",Fighter,,,,Ex
Treacherous Blow,Cad,15,Armor Training 4,"At 15th level, when a cad confirms a critical hit, he can attempt a dirty trick combat maneuver as part of that attack as an immediate action This ability replaces armor training 4",Fighter,,,,Ex
CAD17thBroken,Cad,17,"Weapon Training 3,Weapon Training 4","At 17th level, the cad can use this ability as a full-round action to attempt a dirty trick maneuver against a number of enemies equal to 2 + his Dexterity bonus (if any) This ability replaces weapon training 3 and 4",Fighter,,,,Ex
Ultimate Payback,Cad,20,Weapon Mastery,"At 20th level, any critical threats a cad makes against an opponent that has attacked him since the beginning of his last turn are automatically confirmed This ability replaces weapon mastery",Fighter,,,,Ex
Deadshot,Crossbowman,3,Armor Training 1,,Fighter,0,,,
Crossbow Expert,Crossbowman,5,Weapon Training 1,,Fighter,0,,,
Improved Deadshot,Crossbowman,7,Armor Training 2,,Fighter,0,,,
Quick Sniper,Crossbowman,9,Weapon Training 2,,Fighter,0,,,
Greater Deadshot,Crossbowman,11,Armor Training 3,,Fighter,0,,,
Safe Shot,Crossbowman,13,Weapon Training 3,,Fighter,0,,,
Pinpoint Targeting,Crossbowman,15,Armor Training 4,,Fighter,0,,,
Meteor Shot,Crossbowman,17,Weapon Training 4,,Fighter,0,,,
Penetrating Shot,Crossbowman,19,Armor Mastery,,Fighter,0,,,
Burst Of Speed,Dervish of Dawn,3,Armor Training 1,,Fighter,0,,,
Desert Stride,Dervish of Dawn,7,Armor Training 2,,Fighter,0,,,
Rapid Attack,Dervish of Dawn,11,Armor Training 3,,Fighter,0,,,
Lightning Strike,Dervish of Dawn,15,Armor Training 4,,Fighter,0,,,
Weapon and Armor Proficiency,Dragoon,1,,A dragoon is not proficient with tower shields,Fighter,,,,
Skilled Rider,Dragoon,1,Feat 1,"At 1st level, a dragoon gains both the Mounted Combat and Skill Focus (Ride) feats as bonus feats This ability replaces the 1st-level fighter bonus combat feat",Fighter,,,,Ex
Spear Training,Dragoon,5,,"At 5th level, a dragoon must select weapon training with the spear group The dragoon's weapon training bonus with spears improves by +1 on attack rolls and +2 on damage rolls for every four levels beyond 5th (to a maximum of +4 on attack rolls and +8 on damage rolls at 17th level) The dragoon does not gain weapon training in any other groups as he increases in level",Fighter,,,,Ex
Spinning Lance,Dragoon,7,Armor Training 2,"At 7th level, a dragoon may alternate attacks with the piercing head of his lance with reach, or with the butt end (treat as a club) against adjacent targets Unlike a double weapon, the masterwork quality and magical special abilities apply to both ends of the lance, except for those weapon special abilities that apply only to edged weapons This ability replaces armor training 2",Fighter,,,,Ex
Banner,Dragoon,9,"Weapon Training 2,Weapon Training 3,Weapon Training 4","At 9th level, a dragoon may attach a banner to his lance This is identical to the cavalier class feature The bonuses provided by the dragoon's banner increase by +1 for every five levels beyond 9th (to a maximum of +3 at 19th level) Cavalier levels stack with his dragoon level for determining the effect of his banner, and he can take the better banner progression This ability replaces weapon training 2, 3, and 4",Fighter,,,,Ex
Piercing Lance,Dragoon,11,Armor Training 3,"At 11th level, as a standard action or as part of a charge, a dragoon attacking a mounted opponent can make two attacks, one against the mount and the other against the rider, using his highest base attack bonus Furthermore, if the mount is hit and its rider attempts to negate the hit with the Mounted Combat feat, the dragoon's attack roll is considered 4 higher when calculating the DC of the Ride check to negate the hit This ability replaces armor training 3",Fighter,,,,Ex
Leaping Lance,Dragoon,15,Armor Training 4,"At 15th level, a dragoon and his mount suffer no armor check penalty on Acrobatics checks while mounted When charging, a dragoon may jump from his mount toward his target If he jumps 10 feet, his charge modifiers on attack rolls and to AC are doubled and he is still considered mounted for lance damage, mounted combat feats, and so on This ability replaces armor training 4",Fighter,,,,Ex
Weapon Mastery,Dragoon,20,,The dragoon must select the lance for this ability,Fighter,,,,
Deceptive Strike,Free Hand Fighter,2,Bravery,,Fighter,0,,,
Elusive,Free Hand Fighter,3,"Armor Training 1,Armor Training 2,Armor Training 3,Armor Training 4",,Fighter,0,,,
Singleton,Free Hand Fighter,5,"Weapon Training 1,Weapon Training 4",,Fighter,0,,,
Timely Tip,Free Hand Fighter,9,Weapon Training 2,,Fighter,0,,,
Interference,Free Hand Fighter,13,Weapon Training 3,,Fighter,0,,,
Reversal,Free Hand Fighter,19,Armor Mastery,,Fighter,0,,,
Skills,Gladiator,1,,"A gladiator gains Perform (act, comedy, and dance) (Cha) as class skills",Fighter,,,,
Weapon and Armor Proficiency,Gladiator,1,,"A gladiator is not proficient with heavy armor or tower shields Instead he gains the Performance Weapon Mastery feat at 1st level as a bonus feat This bonus feat is in addition to the bonus feat a fighter gains at 1st level Furthermore, a gladiator using piecemeal armor is considered to be wearing a suit of armor as long as he wearing two or three armor pieces, gaining the +1 to armor bonus but still taking the +5% chance of arcane spell failure if the pieces are mixed",Fighter,,,,
Bonus Feats,Gladiator,1,,A gladiator may choose to take combat or performance feats as bonus feats,Fighter,,,,
Fame,Gladiator,2,Bravery,"At 2nd level, when a gladiator begins a performance combat, he always starts with at least 1 victory point If he already has victory points, he gains 1 extra victory point At 10th level, the gladiator starts out with at least 2 victory points If he already has victory points, he gains 2 extra victory points This ability replaces bravery",Fighter,,,,Ex
Agility,Mobile Fighter,2,Bravery,"You gains a +{0} bonus on saving throws made against effects that cause him to become paralyzed, slowed, or entangled.",Fighter,0,4,Start1PlusChar,
Leaping Attack,Mobile Fighter,5,"Weapon Training 1,Weapon Training 2,Weapon Training 3,Weapon Training 4","When a mobile fighter moves at least 5 feet prior to attacking, he gains a +{0} bonus on attack and damage rolls.",Fighter,1,4,Start1PlusCharges,
Rapid Attack,Mobile Fighter,11,Armor Training 3,Can combine a full-attack action with a single move. He must forgo the attack at his highest bonus but may take the remaining attacks at any point during his movement. This movement provokes attacks of opportunity as normal,Fighter,1,,,
Fleet Footed,Mobile Fighter,15,Armor Training 4,"Speed increases by 10 feet. You can take 10 on Acrobatics checks even while distracted or threatened, and can take 20 on an Acrobatics check {0} times per day",Fighter,1,,Every5Levels,
Whirlwind Blitz,Mobile Fighter,20,Weapon Mastery,You can make a full-attack action as a standard action. You may also use the Whirlwind Attack feat as a standard action.,Fighter,1,,,
Stand Firm,Phalanx Soldier,2,Bravery,"+{0} CMD vs bull rush, drag, overrun, trip and save vs trample.",Fighter,0,,,
Phalanx Fighting,Phalanx Soldier,3,Armor Training 1,"When wielding a shield, can use any polearm or spear of his size as a one-handed weapon.",Fighter,0,,,
Ready Pike,Phalanx Soldier,5,Weapon Training 1,"A phalanx soldier can, {0} per day, ready a weapon with the brace property as an immediate action, gaining a +{0} bonus on attack and damage rolls. Cannot use this ability when flat-footed.",Fighter,0,,,
Deft Shield,Phalanx Soldier,7,"Armor Training 2,Armor Training 3",The armor check penalty from a shield and the attack roll penalty are reduced by {0}  for a phalanx soldier using a tower shield.,Fighter,0,,,
Shield Ally,Phalanx Soldier,9,"Weapon Training 2,Weapon Training 3,Weapon Training 4","When a phalanx fighter is using a heavy or tower shield, he can, as a move action, provide partial cover (+4 cover bonus to AC, +2 bonus on Reflex saves) to himself and all adjacent allies, or he can provide improved cover (+8 cover bonus to AC, +4 bonus on Reflex saves, improved evasion) to a single adjacent ally.",Fighter,0,,,
Irresistibile Advance,Phalanx Soldier,15,Armor Training 4,"Then phalanx fighter gains a bonus on bull rush and overrun CMB checks. This bonus depends on the type of shield used: +1 with a buckler, +2 with a light shield, +3 with a heavy shield, or +4 with a tower shield.",Fighter,0,,,
Shielded Fortress,Phalanx Soldier,20,Weapon Mastery,"A phalanx fighter’s shield cannot be disarmed or sundered. He gains evasion when using a shield (improved evasion when using a tower shield). As a move action, a phalanx fighter can provide evasion to all adjacent allies until the beginning of his next turn. As an immediate action, he can provide improved evasion to an adjacent ally against one attack.",Fighter,0,,,
Pole Fighting,Polearm Master,2,Bravery,"As an immediate action, you can shorten the grip on his spear or polearm with reach and use it against adjacent targets. This action results in a –{0} penalty on attack rolls with that weapon until you spend another immediate action to return to the normal grip.",Fighter,0,4,4minusCharges,
Steadfast Pike,Polearm Master,3,"Armor Training 1,Armor Training 2,Armor Training 3,Armor Training 4",a polearm master gains a +{0} bonus on attack rolls with readied attacks and attacks of opportunity made with a spear or polearm.,Fighter,1,4,Start1PlusCharges,
Polearm Training,Polearm Master,5,Weapon Training 1,At 5th level a polearm master gains a +{0} bonus on attack and damage rolls with spears and polearms.,Fighter,1,4,Start1PlusCharges,
Flexible Flanker,Polearm Master,9,Weapon Training 2,"You may choose any square adjacent to you and treat that square as your location for determining who you are flanking, even if that square is occupied by a creature, object, or solid barrier.",Fighter,0,,,
Sweeping Fend,Polearm Master,13,Weapon Training 3,"You can use any spear or polearm to make bull rush maneuvers, though you take a –4 penalty on combat maneuver checks when making such attempts. When using a spear or polearm to make a trip maneuver, he treats these weapons as if they had the trip weapon feature.",Fighter,0,,,
Step Aside,Polearm Master,17,Weapon Training 4,"When a creature threatened by a polearm master takes a 5-foot step into a square adjacent to him, he can take a 5-foot step as an immediate action. This 5-foot step must be subtracted from his movement on the next turn. He also gains a +2 dodge bonus to his AC against that opponent until the end of his next turn.",Fighter,0,,,
Polearm Parry,Polearm Master,19,Armor Mastery,"When an opponent threatened by a polearm master makes a melee attack against an ally, he may take an immediate action to grant his ally a +2 shield bonus to AC and DR 5/— against that attack. He may use this ability to protect himself, but only if the attacking creature is not adjacent to him.",Fighter,0,,,
Weapon Mastery,Polearm Master,20,Weapon Mastery,A polearm master must choose a spear or polearm for his Weapon Mastery class feature.,Fighter,1,,,
Active Defense,Shielded Fighter,3,"Armor Training 1,Armor Training 2,Armor Training 3,Armor Training 4","+{0} dodge bonus to AC when wielding a shield and fighting defensively, using Combat Expertise, or using total defense. As a swift action, he may share this bonus with one adjacent ally, or half of the bonus (minimum +0) with all adjacent allies, until the beginning of his next turn.",Fighter,1,,,
Shield Fighter,Shielded Fighter,5,Weapon Training 1,+{0} bonus on attack and damage rolls when making a shield bash.,Fighter,1,,,
Shield Buffet,Shielded Fighter,9,"Weapon Training 2,Weapon Training 3","As a move action, a shielded fighter may make a combat maneuver check to use his shield to impede an adjacent enemy. If successful, the target suffers a –2 penalty on its attack rolls against the shielded fighter and a –2 penalty to ACon attacks made by the shielded fighter until the beginning of his next turn. At 13th level, a shielded fighter may use this ability as a swift action.",Fighter,0,,,
Shield Guard,Shielded Fighter,17,Weapon Training 4,"As a swift action, a shielded fighter may designate one square adjacent to him. He may designate two squares if using a heavy shield or three squares if using a tower shield, but these squares must be contiguous. Enemies in these squares cannot flank the shielded fighter and do not count for flanking with other creatures. This effect lasts until he moves from his position or uses another swift action to change the affected squares.",Fighter,0,,,
Shield Mastery,Shielded Fighter,19,Armor Mastery,5/dr when wielding a shied.,Fighter,0,,,
Shield Ward,Shielded Fighter,20,Weapon Mastery,"Gains evasion while wielding a shield, and adds his shield bonus to his AC (not including enhancement bonuses) on Reflex saves and to his touch AC. In addition, his shield cannot be disarmed or sundered.",Fighter,1,,,
Bonus Feat,Standard Fighter,1,,+{0} bonus combat feats.,Fighter,1,,,
Bonus Feat,Standard Fighter,1,,+{0} bonus combat feats.,Fighter,1,,,
Bravery,Standard Fighter,2,,+{0} on Will saves against fear.,Fighter,1,,,
Armor Training 1,Standard Fighter,3,,"Reduce armor check penalty by 1, increase max dex by 1.",Fighter,1,,,
Weapon Training 1,Standard Fighter,5,,+{0} with {1} weapons.,Fighter,1,,,
Armor Training 2,Standard Fighter,7,,"Reduce armor check penalty by 2, increase max dex by 2.",Fighter,1,,,
Weapon Training 2,Standard Fighter,9,,+{0} with {1} weapons.,Fighter,1,,,
Armor Training 3,Standard Fighter,11,,"Reduce armor check penalty by 3, increase max dex by 3.",Fighter,1,,,
Weapon Training 3,Standard Fighter,13,,+{0} with {1} weapons.,Fighter,1,,,
Armor Training 4,Standard Fighter,15,,"Reduce armor check penalty by 4, increase max dex by 4.",Fighter,1,,,
Weapon Training 4,Standard Fighter,17,,+{0} with {1} weapons.,Fighter,1,,,
Armor Mastery,Standard Fighter,19,,Gains Damage Reduction 5/— whenever he is wearing armor or using a shield,Fighter,1,,,
Weapon Mastery,Standard Fighter,20,,"Auto confirm criticals, unable to disarm, and +1 multiplier with {0}s.",Fighter,1,,,
Defensive Parry,Swordlord,3,"Armor Training 1,Armor Training 4","When you make a full attack with a dueling sword, he gains a +{0} bonus to AC against melee attacks until the beginning of his next turn.",Fighter,1,,,
Disarming Strike,Swordlord,5,Weapon Training 1,"When you successfully disarms an opponent using a dueling sword, you also deals normal damage to the target, but without the normal Strength bonus to damage.",Fighter,1,,,
Steel Net,Swordlord,7,Armor Training 2,"You can throw up a blazing wall of steel to defend yourself. When fighting defensively as a full-round action with a dueling sword, the swordlord’s penalties on all attacks in a round are reduced by 2, and the dodge bonus to AC is increased by 2 for the same round.",Fighter,1,,,
Counterattack,Swordlord,11,Armor Training 3,"You can make an attack of opportunity as an immediate action against an opponent who hits the swordlord with a melee attack, so long as the attacking creature is within reach.",Fighter,1,,,
Weapon and Armor Proficiency,Tactician,1,,A tactician is not proficient with heavy armor or tower shields,Fighter,,,,
Strategic Training,Tactician,1,Feat 1,"A tactician gains 4 skill points + a number of skill points equal to his Intelligence modifier at each level, instead of the normal 2 skill points + Intelligence modifier at each level Furthermore, Diplomacy (Cha), Knowledge (geography) (Int), Knowledge (nobility) (Int), Linguistics (Int), and Sense Motive (Wis) are all class skills for the tactician This ability replaces the bonus fighter combat feat gained at 1st level",Fighter,,,,Ex
Bonus Feats,Tactician,1,,"A tactician may choose Skill Focus or any teamwork feat, in addition to combat feats, as bonus feats",Fighter,,,,
Tactical Awareness,Tactician,2,Bravery,"At 2nd level, a tactician gains a +1 bonus on initiative checks This bonus increases by +1 for every four levels after 2nd level (to a maximum of +5 at 18th level) This ability replaces bravery",Fighter,,,,Ex
Tactician,Tactician,5,Weapon Training 1,"At 5th level, a tactician gains this ability as the cavalier class feature He may use this ability once per day at 5th level, plus one additional time for every five levels after 5th (to a maximum of four times at 20th level) If the tactician also has cavalier levels, these levels stack for determining the number of uses per day, and he can take the better progression This ability replaces weapon training 1",Fighter,,,,Ex
Cooperative Combatant,Tactician,11,Armor Training 3,"At 11th level, when a tactician uses the aid another special attack, he may affect one additional ally per point of Intelligence bonus For each ally that a tactician aids, he can pick whether to grant that ally the +2 bonus on its next attack against the opponent or the +2 bonus to AC against the opponent's next attack on that ally, and can grant different allies different bonuses This ability replaces armor training 3",Fighter,,,,Ex
Battle Insight,Tactician,15,Armor Training 4,"At 15th level, as a swift action, a tactician can grant his Intelligence modifier as an insight bonus on the attack rolls made by a single ally within line of sight that can both see and hear the tactician That ally gains the bonus until the end of the tactician's next turn The tactician can use this ability a number of times per day equal to 3 + his Intelligence modifier This ability replaces armor training 4",Fighter,,,,Ex
Strapped Shield,Thunderstriker,3,Armor Training 1,"At 3rd level, a thunderstriker takes no penalty on attack rolls when using a weapon in two hands while wearing a buckler This ability replaces armor training 1",Fighter,,,,Ex
Hardbuckler,Thunderstriker,7,Armor Training 2,"At 7th level, a thunderstriker may make shield bash attacks with a buckler as if it were a light shield This ability replaces armor training 2",Fighter,,,,Ex
Knockback Smash,Thunderstriker,11,Armor Training 3,"At 11th level, when a thunderstriker uses his buckler to attack, he gains a bonus equal to the enhancement bonus of the buckler on both attack and damage rolls This ability replaces armor training 3",Fighter,,,,Ex
Hammer and Anvil,Thunderstriker,13,Weapon Training 3,"At 13th level, a thunderstriker suffers only half the normal penalties for two-weapon fighting when using a buckler as his off-hand weapon This ability replaces weapon training 3",Fighter,,,,Ex
Buckler Defense,Thunderstriker,15,Armor Training 4,"At 15th level, a thunderstriker retains partial use of his buckler even when using a weapon in both hands or in each hand (rather than losing his shield bonus until the beginning of his next turn) He gains a +1 shield bonus to AC and may apply the benefits of any feats he knows that require the use of a shield, but does not benefit from any magical properties his shield may possess This ability replaces armor training 4",Fighter,,,,Ex
Balanced Bashing,Thunderstriker,17,Weapon Training 4,"At 17th level, a thunderstriker no longer suffers two-weapon fighting penalties when using a buckler as his off-hand weapon This ability replaces weapon training 4",Fighter,,,,Ex
Improved Buckler Defense,Thunderstriker,19,Armor Mastery,"At 19th level, a thunderstriker does not forfeit his shield bonus to AC from a buckler when fighting two-handed This ability replaces armor mastery",Fighter,,,,Ex
Burst Barrier,Tower Shield Specialist,2,Bravery,"At 2nd level, a tower shield specialist can use his shield to screen himself from burst spells and effects, gaining a +1 bonus on Reflex saves against them while employing a tower shield This bonus increases by +1 for every four levels after 2nd (to a maximum of +5 at 18th level) This ability replaces bravery",Fighter,,,,Ex
Tower Shield Training,Tower Shield Specialist,3,,"At 3rd level, a tower shield specialist gains armor training as normal, but while he employs a tower shield, the armor penalty is reduced by 3 and the maximum Dexterity bonus allowed by his armor increases by 2 The benefit increases every four levels thereafter as per standard armor training; if the tower shield specialist is not employing a tower shield, the benefits to armor training revert to the normal bonuses",Fighter,,,,Ex
Tower Shield Specialist,Tower Shield Specialist,5,Weapon Training 1,"At 5th level, when a tower shield specialist employs a tower shield in combat, he does not take the –2 penalty on attack rolls because of the shield's encumbrance This ability replaces weapon training 1",Fighter,,,,Ex
Tower Shield Defense,Tower Shield Specialist,9,Weapon Training 2,"At 9th level, while using a tower shield, a tower shield specialist gains his shield bonus against touch attacks This ability replaces weapon training 2",Fighter,,,,Ex
Immediate Repositioning,Tower Shield Specialist,13,Weapon Training 3,"At 13th level, as an immediate action, a tower shield specialist can reposition his tower shield to another facing, but he cannot use this ability to interrupt an attack This ability replaces weapon training 3",Fighter,,,,Ex
Tower Shield Evasion,Tower Shield Specialist,16,"Weapon Training 4,Weapon Mastery","At 16th level, while using a tower shield, the tower shield specialist gains evasion, as the rogue class ability At 20th level, the shield specialist gains improved evasion, as the rogue advanced talent, while using a tower shield This ability replaces both weapon training 4 and weapon mastery",Fighter,,,,Ex
Defensive Flurry,Two-Weapon Warrior,3,"Armor Training 1,Armor Training 2","When you make a full-attack with both weapons, gain a +{0} dodge bonus to AC against melee attacks until the beginning of his next turn.",Fighter,1,,,
Twin Blades,Two-Weapon Warrior,5,Weapon Training 1,+{0} hit/damage when making a full-round attack.,Fighter,1,,,
Doublestrike,Two-Weapon Warrior,9,Weapon Training 2,Attack with primary and offhand as a standard action.,Fighter,1,,,
Improved Balance,Two-Weapon Warrior,11,Armor Training 3,Two weapon fighting penalty reduced by 1.,Fighter,1,,,
Equal Opportunity,Two-Weapon Warrior,13,Weapon Training 3,Attack with primary and offhand on AOO's.,Fighter,1,,,
Perfect Balance,Two-Weapon Warrior,15,Armor Training 4,Two weapon fighting penalty reduced by 1.,Fighter,1,,,
Deft Doublestrike,Two-Weapon Warrior,17,Weapon Training 4,If hits with both weapons can disarm or sunder as imm act (does not provoke).,Fighter,0,,,
Deadly Defense,Two-Weapon Warrior,19,Armor Mastery,Attackers that hit you until next turn provoke AOO.,Fighter,0,,,
Unarmed Style,Unarmed Fighter,1,Bonus Feat 1,"At 1st level, a unarmed fighter gains the Improved Unarmed Strike feat and any single style feat as a bonus feat. The unarmed fighter need not meet all the prerequisites of the style feat he chooses, but style feats that grant additional uses of the Elemental Fist feat cannot be taken until the unarmed fighter has that feat.",Fighter,0,,,
Weapon and Armor Proficiency,Unarmed Fighter,1,,"An unarmed fighter is not proficient with medium armor, heavy armor, or shields An unarmed fighter is proficient with all monk weapons, including exotic monk weapons",Fighter,,,,
Unarmed Style,Unarmed Fighter,1,Bonus Feat 1,"At 1st level, a unarmed fighter gains the Improved Unarmed Strike feat and any single style feat (see Chapter 3) as a bonus feat The unarmed fighter need not meet all the prerequisites of the style feat he chooses, but style feats that grant additional uses of the Elemental Fist feat cannot be taken until the unarmed fighter has that feat This ability replaces the bonus feat at 1st level",Fighter,,,,
Harsh Training,Unarmed Fighter,2,Bravery,"At 2nd level, an unarmed fighter gains a +1 bonus on saving throws against effects that cause the exhausted, fatigued, or staggered conditions or temporary penalties to ability scores. This bonus increases by +1 for every four levels after 2nd (to a maximum of +5 at 18th level).",Fighter,0,,,
Harsh Training,Unarmed Fighter,2,Bravery,"At 2nd level, an unarmed fighter gains a +1 bonus on saving throws against effects that cause the exhausted, fatigued, or staggered conditions or temporary penalties to ability scores This bonus increases by +1 for every four levels after 2nd (to a maximum of +5 at 18th level) This ability replaces bravery",Fighter,,,,Ex
Tough Guy,Unarmed Fighter,3,Armor Training 1,"At 3rd level, an unarmed fighter gains DR/— equal to half his fighter level against nonlethal damage or damage taken while he is grappled.",Fighter,0,,,
Tough Guy,Unarmed Fighter,3,Armor Training 1,"At 3rd level, an unarmed fighter gains DR/— equal to half his fighter level against nonlethal damage or damage taken while he is grappled This ability replaces armor training 1",Fighter,,,,Ex
Weapon Training,Unarmed Fighter,5,Weapon Training 1,"At 5th level, an unarmed fighter gains a +1 bonus on attack and damage rolls with weapons in the monk and natural weapon groups, improving by +1 for every four levels beyond 5th (to a maximum of +4 at 17th level).",Fighter,0,,,
Clever Wrestler,Unarmed Fighter,7,Armor Training 2,"At 7th level, an unarmed fighter takes no penalties to Dexterity or on attack rolls while grappled, and retains his Dexterity bonus to AC while pinning an opponent. The unarmed fighter can make attacks of opportunity even when grappled and even against creatures attempting to grapple him if the opponent has the Improved Grapple feat or the grab ability.",Fighter,0,,,
Trick Throw,Unarmed Fighter,9,Weapon Training 2,"At 9th level, when an unarmed fighter successfully trips an opponent with an unarmed attack, he can attempt a dirty trick combat maneuver against that creature (before the opponent becomes prone) as an immediate action that does not provoke attacks of opportunity.",Fighter,0,,,
Takedown,Unarmed Fighter,11,Armor Training 3,"At 11th level, if an unarmed fighter succeeds on a drag maneuver, he can attempt a trip maneuver against the same target as a swift action that does not provoke attacks of opportunity. At 15th level, he may do so after a successful grapple check.",Fighter,0,,,
Eye Gouge,Unarmed Fighter,13,Weapon Training 3,"At 13th level, if an unarmed fighter confirms a critical hit with his unarmed strike or begins his turn grappled, he may attempt a dirty trick maneuver to blind his target as a swift action that does not provoke attacks of opportunity. A target more than one size category larger is unaffected.",Fighter,0,,,
